player_name,month,trends_rel
Matheus Cunha,2025-05,0.1557
Matheus Cunha,2025-06,0.1246
Matheus Cunha,2025-07,0.0667
Alphonso Davies,2024-07,0.0667
Alphonso Davies,2024-08,0.0556
Alphonso Davies,2024-09,0.0356
Alphonso Davies,2024-10,0.0389
Alphonso Davies,2024-11,0.0612
Alphonso Davies,2024-12,0.0489
Alphonso Davies,2025-01,0.0556
Alphonso Davies,2025-02,0.0389
Alphonso Davies,2025-03,0.04
Alphonso Davies,2025-04,0.0222
Alphonso Davies,2025-05,0.0278
Alphonso Davies,2025-06,0.0356
Alphonso Davies,2025-07,0.0445
Kevin De Bruyne,2024-07,0.1557
Kevin De Bruyne,2024-08,0.1557
Kevin De Bruyne,2024-09,0.1512
Kevin De Bruyne,2024-10,0.1279
Kevin De Bruyne,2024-11,0.1056
Kevin De Bruyne,2024-12,0.1334
Kevin De Bruyne,2025-01,0.0945
Kevin De Bruyne,2025-02,0.1501
Kevin De Bruyne,2025-03,0.1957
Kevin De Bruyne,2025-04,0.2891
Kevin De Bruyne,2025-05,0.5004
Kevin De Bruyne,2025-06,0.2669
Kevin De Bruyne,2025-07,0.1557
Rodrigo De Paul,2024-07,0.0445
Rodrigo De Paul,2024-08,0.0445
Rodrigo De Paul,2024-09,0.0445
Rodrigo De Paul,2024-10,0.0334
Rodrigo De Paul,2024-11,0.0278
Rodrigo De Paul,2024-12,0.0356
Rodrigo De Paul,2025-01,0.0222
Rodrigo De Paul,2025-02,0.0222
Rodrigo De Paul,2025-03,0.0578
Rodrigo De Paul,2025-04,0.0222
Rodrigo De Paul,2025-05,0.0222
Rodrigo De Paul,2025-06,0.0267
Rodrigo De Paul,2025-07,0.1446
Frenkie de Jong,2024-07,0.0445
Frenkie de Jong,2024-08,0.1
Frenkie de Jong,2024-09,0.0845
Frenkie de Jong,2024-10,0.0611
Frenkie de Jong,2024-11,0.0556
Frenkie de Jong,2024-12,0.04
Frenkie de Jong,2025-01,0.0556
Frenkie de Jong,2025-02,0.0445
Frenkie de Jong,2025-03,0.0489
Frenkie de Jong,2025-04,0.0556
Frenkie de Jong,2025-05,0.0723
Frenkie de Jong,2025-06,0.0267
Frenkie de Jong,2025-07,0.0222
Ousmane Dembélé,2024-07,0.0111
Ousmane Dembélé,2024-08,0.0111
Ousmane Dembélé,2024-09,0.0222
Ousmane Dembélé,2024-10,0.0139
Ousmane Dembélé,2024-11,0.0139
Ousmane Dembélé,2024-12,0.0111
Ousmane Dembélé,2025-01,0.0167
Ousmane Dembélé,2025-02,0.0278
Ousmane Dembélé,2025-03,0.0356
Ousmane Dembélé,2025-04,0.0389
Ousmane Dembélé,2025-05,0.0556
Ousmane Dembélé,2025-06,0.0489
Ousmane Dembélé,2025-07,0.0556
Federico Dimarco,2024-07,0.0111
Federico Dimarco,2024-08,0.0139
Federico Dimarco,2024-09,0.0445
Federico Dimarco,2024-10,0.0278
Federico Dimarco,2024-11,0.0222
Federico Dimarco,2024-12,0.0222
Federico Dimarco,2025-01,0.0222
Federico Dimarco,2025-02,0.0222
Federico Dimarco,2025-03,0.0267
Federico Dimarco,2025-04,0.0389
Federico Dimarco,2025-05,0.05
Federico Dimarco,2025-06,0.0267
Federico Dimarco,2025-07,0.0167
Jérémy Doku,2024-07,0.0222
Jérémy Doku,2024-08,0.0389
Jérémy Doku,2024-09,0.04
Jérémy Doku,2024-10,0.0389
Jérémy Doku,2024-11,0.0222
Jérémy Doku,2024-12,0.0311
